# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=2097152 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
54002,2462,0,88212,82052,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2462,2446,0
55015,2508,0,88220,82060,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2508,2492,0
56008,2554,0,88220,82060,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2554,2538,0
57015,2600,0,88224,82064,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2600,2584,0
58017,2646,0,88224,82064,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2646,2630,0
59004,2691,0,88228,82068,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2691,2675,0
60013,2736,0,88236,82076,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2736,2720,0
61005,2781,0,88240,82080,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2781,2765,0
62021,2828,0,88240,82080,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2828,2812,0
63007,2873,0,88244,82084,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2873,2857,0
64012,2919,0,88244,82084,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2919,2903,0
65020,2964,0,88248,82088,6160,79872,76,33,16,16,16,13437616,84115456,13578240,2964,2948,0
66003,3009,0,88260,82100,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3009,2993,0
67017,3055,0,88260,82100,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3055,3039,0
68010,3100,0,88260,82100,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3100,3084,0
69009,3146,0,88264,82104,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3146,3130,0
70015,3192,0,88268,82108,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3192,3176,0
71008,3238,0,88268,82108,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3238,3222,0
72013,3284,0,88272,82112,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3284,3268,0
73020,3330,0,88276,82116,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3330,3314,0
74006,3375,0,88276,82116,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3375,3359,0
75003,3420,0,88280,82120,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3420,3404,0
76009,3466,0,88284,82124,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3466,3450,0
77009,3512,0,88288,82128,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3512,3496,0
78004,3558,0,88292,82132,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3558,3542,0
79003,3604,0,88296,82136,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3604,3588,0
80005,3650,0,88300,82140,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3650,3634,0
81011,3696,0,88308,82148,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3696,3680,0
82007,3742,0,88308,82148,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3742,3726,0
83011,3788,0,88312,82152,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3788,3772,0
84020,3834,0,88316,82156,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3834,3818,0
85001,3879,0,88324,82164,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3879,3863,0
86008,3925,0,88324,82164,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3925,3909,0
87015,3971,0,88332,82172,6160,79872,76,33,16,16,16,13437616,84115456,13578240,3971,3955,0
88019,4017,0,88332,82172,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4017,4001,0
89003,4062,0,88336,82176,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4062,4046,0
90012,4108,0,88336,82176,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4108,4092,0
91012,4154,0,88344,82184,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4154,4138,0
92019,4200,0,88344,82184,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4200,4184,0
93007,4245,0,88344,82184,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4245,4229,0
94016,4291,0,88348,82188,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4291,4275,0
95021,4337,0,88348,82188,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4337,4321,0
96003,4382,0,88352,82192,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4382,4366,0
97003,4427,0,88352,82192,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4427,4411,0
98002,4473,0,88360,82200,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4473,4457,0
99006,4519,0,88368,82208,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4519,4503,0
100018,4565,0,88372,82212,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4565,4549,0
