# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
56013,2243,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2243,2227,0
57017,2283,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2283,2267,0
58018,2323,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2323,2307,0
59020,2363,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2363,2347,0
60024,2403,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2403,2387,0
61001,2442,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2442,2426,0
62018,2482,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2482,2466,0
63024,2522,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2522,2506,0
64022,2562,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2562,2546,0
65003,2601,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2601,2585,0
66006,2641,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2641,2625,0
67007,2681,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2681,2665,0
68007,2721,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2721,2705,0
69006,2761,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2761,2745,0
70014,2801,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2801,2785,0
71015,2841,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2841,2825,0
72012,2880,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2880,2864,0
73019,2920,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2920,2904,0
74017,2960,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,2960,2944,0
75013,3000,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3000,2984,0
76015,3040,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3040,3024,0
77016,3081,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3081,3065,0
78019,3122,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3122,3106,0
79010,3163,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3163,3147,0
80016,3204,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3204,3188,0
81021,3244,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3244,3228,0
82022,3284,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3284,3268,0
83024,3324,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3324,3308,0
84022,3364,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3364,3348,0
85012,3404,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3404,3388,0
86019,3444,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3444,3428,0
87019,3484,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3484,3468,0
88015,3524,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3524,3508,0
89020,3565,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3565,3549,0
90013,3605,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3605,3589,0
91009,3647,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3647,3631,0
92025,3688,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3688,3672,0
93018,3728,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3728,3712,0
94015,3768,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3768,3752,0
95017,3808,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3808,3792,0
96015,3848,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3848,3832,0
97010,3888,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3888,3872,0
98020,3928,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3928,3912,0
99017,3969,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,3969,3953,0
100013,4009,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4009,3993,0
101009,4049,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4049,4033,0
102006,4089,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4089,4073,0
103016,4129,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4129,4113,0
104001,4169,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4169,4153,0
105014,4210,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4210,4194,0
106016,4252,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4252,4236,0
107008,4292,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4292,4276,0
108010,4332,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4332,4316,0
109013,4373,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4373,4357,0
110017,4413,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4413,4397,0
111013,4453,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4453,4437,0
112014,4493,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4493,4477,0
113016,4533,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4533,4517,0
114010,4572,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4572,4556,0
115014,4612,0,7996,2188,5808,0,76,33,16,16,16,13427584,393216,13574144,4612,4596,0
