# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=64 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
56024,2243,0,10972,5164,5808,0,76,33,16,16,16,13643216,393216,13893632,2243,2227,0
57021,2283,0,10976,5168,5808,0,76,33,16,16,16,13647056,393216,13893632,2283,2267,0
58018,2323,0,10976,5168,5808,0,76,33,16,16,16,13650992,393216,13893632,2323,2307,0
59023,2363,0,10980,5172,5808,0,76,33,16,16,16,13654832,393216,13893632,2363,2347,0
60018,2403,0,10984,5176,5808,0,76,33,16,16,16,13658672,393216,13893632,2403,2387,0
61014,2443,0,10984,5176,5808,0,76,33,16,16,16,13662512,393216,13893632,2443,2427,0
62014,2483,0,11024,5216,5808,0,76,33,16,16,16,13666352,393216,13893632,2483,2467,0
63008,2523,0,11060,5252,5808,0,76,33,16,16,16,13670480,393216,13893632,2523,2507,0
64002,2563,0,11068,5260,5808,0,76,33,16,16,16,13674320,393216,13893632,2563,2547,0
65005,2603,0,11068,5260,5808,0,76,33,16,16,16,13678064,393216,13893632,2603,2587,0
66004,2643,0,11072,5264,5808,0,76,33,16,16,16,13681904,393216,13893632,2643,2627,0
67001,2683,0,11080,5272,5808,0,76,33,16,16,16,13685744,393216,13893632,2683,2667,0
68022,2724,0,11084,5276,5808,0,76,33,16,16,16,13689776,393216,13893632,2724,2708,0
69024,2764,0,11088,5280,5808,0,76,33,16,16,16,13693632,393216,13893632,2764,2748,0
70018,2804,0,11092,5284,5808,0,76,33,16,16,16,13697744,393216,13893632,2804,2788,0
71024,2844,0,11096,5288,5808,0,76,33,16,16,16,13701584,393216,13893632,2844,2828,0
72016,2884,0,11096,5288,5808,0,76,33,16,16,16,13705424,393216,13893632,2884,2868,0
