# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=2097152 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
55020,2201,0,16260,10452,5808,0,76,33,16,16,16,13427584,84115456,13574144,2201,2185,0
56023,2241,0,16420,10612,5808,0,76,33,16,16,16,13427584,84115456,13574144,2241,2225,0
57007,2280,0,16572,10764,5808,0,76,33,16,16,16,13427584,84115456,13574144,2280,2264,0
58013,2320,0,16728,10920,5808,0,76,33,16,16,16,13427584,84115456,13574144,2320,2304,0
59022,2360,0,16872,11064,5808,0,76,33,16,16,16,13427584,84115456,13574144,2360,2344,0
60002,2399,0,17012,11204,5808,0,76,33,16,16,16,13427584,84115456,13574144,2399,2383,0
61009,2439,0,17136,11328,5808,0,76,33,16,16,16,13427584,84115456,13574144,2439,2423,0
62021,2479,0,17260,11452,5808,0,76,33,16,16,16,13427584,84115456,13574144,2479,2463,0
63023,2519,0,17420,11612,5808,0,76,33,16,16,16,13427584,84115456,13574144,2519,2503,0
64007,2558,0,17548,11740,5808,0,76,33,16,16,16,13427584,84115456,13574144,2558,2542,0
65019,2598,0,17704,11896,5808,0,76,33,16,16,16,13427584,84115456,13574144,2598,2582,0
66017,2638,0,17832,12024,5808,0,76,33,16,16,16,13427584,84115456,13574144,2638,2622,0
67005,2677,0,17976,12168,5808,0,76,33,16,16,16,13427584,84115456,13574144,2677,2661,0
68006,2717,0,18120,12312,5808,0,76,33,16,16,16,13427584,84115456,13574144,2717,2701,0
69002,2757,0,18264,12456,5808,0,76,33,16,16,16,13427584,84115456,13574144,2757,2741,0
70020,2797,0,18396,12588,5808,0,76,33,16,16,16,13427584,84115456,13574144,2797,2781,0
71004,2836,0,18540,12732,5808,0,76,33,16,16,16,13427584,84115456,13574144,2836,2820,0
72003,2876,0,18688,12880,5808,0,76,33,16,16,16,13427584,84115456,13574144,2876,2860,0
73013,2916,0,18844,13036,5808,0,76,33,16,16,16,13427584,84115456,13574144,2916,2900,0
74020,2956,0,18992,13184,5808,0,76,33,16,16,16,13427584,84115456,13574144,2956,2940,0
75017,2996,0,19128,13320,5808,0,76,33,16,16,16,13427584,84115456,13574144,2996,2980,0
76007,3036,0,19272,13464,5808,0,76,33,16,16,16,13427584,84115456,13574144,3036,3020,0
77017,3077,0,19412,13604,5808,0,76,33,16,16,16,13427584,84115456,13574144,3077,3061,0
78015,3117,0,19560,13752,5808,0,76,33,16,16,16,13427584,84115456,13574144,3117,3101,0
79018,3157,0,19700,13892,5808,0,76,33,16,16,16,13427584,84115456,13574144,3157,3141,0
80022,3197,0,19808,14000,5808,0,76,33,16,16,16,13427584,84115456,13574144,3197,3181,0
81002,3236,0,19944,14136,5808,0,76,33,16,16,16,13427584,84115456,13574144,3236,3220,0
82024,3277,0,20084,14276,5808,0,76,33,16,16,16,13427584,84115456,13574144,3277,3261,0
83023,3317,0,20208,14400,5808,0,76,33,16,16,16,13427584,84115456,13574144,3317,3301,0
84022,3357,0,20344,14536,5808,0,76,33,16,16,16,13427584,84115456,13574144,3357,3341,0
85009,3396,0,20464,14656,5808,0,76,33,16,16,16,13427584,84115456,13574144,3396,3380,0
86013,3436,0,20592,14784,5808,0,76,33,16,16,16,13427584,84115456,13574144,3436,3420,0
87014,3476,0,20728,14920,5808,0,76,33,16,16,16,13427584,84115456,13574144,3476,3460,0
88018,3516,0,20860,15052,5808,0,76,33,16,16,16,13427584,84115456,13574144,3516,3500,0
89003,3555,0,21004,15196,5808,0,76,33,16,16,16,13427584,84115456,13574144,3555,3539,0
90005,3595,0,21148,15340,5808,0,76,33,16,16,16,13427584,84115456,13574144,3595,3579,0
91020,3635,0,21280,15472,5808,0,76,33,16,16,16,13427584,84115456,13574144,3635,3619,0
92002,3674,0,21396,15588,5808,0,76,33,16,16,16,13427584,84115456,13574144,3674,3658,0
93021,3714,0,21540,15732,5808,0,76,33,16,16,16,13427584,84115456,13574144,3714,3698,0
94022,3754,0,21680,15872,5808,0,76,33,16,16,16,13427584,84115456,13574144,3754,3738,0
