# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=64 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
56006,2553,0,11284,4992,6292,0,76,33,16,16,16,13683360,393216,13885440,2553,2537,0
57020,2599,0,11288,4996,6292,0,76,33,16,16,16,13687776,393216,13885440,2599,2583,0
58017,2644,0,11292,5000,6292,0,76,33,16,16,16,13692096,393216,13885440,2644,2628,0
59006,2689,0,11292,5000,6292,0,76,33,16,16,16,13696416,393216,13885440,2689,2673,0
60013,2734,0,11292,5000,6292,0,76,33,16,16,16,13700736,393216,13885440,2734,2718,0
61014,2780,0,11292,5000,6292,0,76,33,16,16,16,13705152,393216,13885440,2780,2764,0
62021,2826,0,11292,5000,6292,0,76,33,16,16,16,13709568,393216,13885440,2826,2810,0
63012,2871,0,11292,5000,6292,0,76,33,16,16,16,13713888,393216,13885440,2871,2855,0
64016,2917,0,11296,5004,6292,0,76,33,16,16,16,13718304,393216,13885440,2917,2901,0
65006,2961,0,11296,5004,6292,0,76,33,16,16,16,13722528,393216,13885440,2961,2945,0
66000,3006,0,11296,5004,6292,0,76,33,16,16,16,13726752,393216,13885440,3006,2990,0
67014,3052,0,11304,5012,6292,0,76,33,16,16,16,13731264,393216,13885440,3052,3036,0
68020,3098,0,11332,5040,6292,0,76,33,16,16,16,13735680,393216,13885440,3098,3082,0
69006,3143,0,11392,5100,6292,0,76,33,16,16,16,13740016,393216,14049280,3143,3127,0
70006,3189,0,11404,5112,6292,0,76,33,16,16,16,13744336,393216,14049280,3189,3173,0
71002,3235,0,11408,5116,6292,0,76,33,16,16,16,13748752,393216,14049280,3235,3219,0
72001,3281,0,11416,5124,6292,0,76,33,16,16,16,13753280,393216,14049280,3281,3265,0
73010,3327,0,11420,5128,6292,0,76,33,16,16,16,13757600,393216,14049280,3327,3311,0
74020,3373,0,11420,5128,6292,0,76,33,16,16,16,13762112,393216,14049280,3373,3357,0
75007,3418,0,11420,5128,6292,0,76,33,16,16,16,13766336,393216,14049280,3418,3402,0
76011,3464,0,11420,5128,6292,0,76,33,16,16,16,13770848,393216,14049280,3464,3448,0
77013,3510,0,11420,5128,6292,0,76,33,16,16,16,13775168,393216,14049280,3510,3494,0
78011,3556,0,11424,5132,6292,0,76,33,16,16,16,13779680,393216,14049280,3556,3540,0
79002,3601,0,11428,5136,6292,0,76,33,16,16,16,13783904,393216,14049280,3601,3585,0
80014,3647,0,11432,5140,6292,0,76,33,16,16,16,13788320,393216,14049280,3647,3631,0
81001,3692,0,11480,5188,6292,0,76,33,16,16,16,13792640,393216,14049280,3692,3676,0
82001,3738,0,11508,5216,6292,0,76,33,16,16,16,13797056,393216,14049280,3738,3722,0
83008,3783,0,11508,5216,6292,0,76,33,16,16,16,13801568,393216,14049280,3783,3767,0
84009,3829,0,11508,5216,6292,0,76,33,16,16,16,13805888,393216,14049280,3829,3813,0
85018,3875,0,11520,5228,6292,0,76,33,16,16,16,13810304,393216,14049280,3875,3859,0
86007,3921,0,11520,5228,6292,0,76,33,16,16,16,13814720,393216,14049280,3921,3905,0
87008,3966,0,11532,5240,6292,0,76,33,16,16,16,13818944,393216,14049280,3966,3950,0
88012,4012,0,11536,5244,6292,0,76,33,16,16,16,13823392,393216,14049280,4012,3996,0
89017,4058,0,11540,5248,6292,0,76,33,16,16,16,13827808,393216,14049280,4058,4042,0
90001,4104,0,11544,5252,6292,0,76,33,16,16,16,13832224,393216,14049280,4104,4088,0
91009,4150,0,11548,5256,6292,0,76,33,16,16,16,13836736,393216,14049280,4150,4134,0
92020,4196,0,11548,5256,6292,0,76,33,16,16,16,13841056,393216,14049280,4196,4180,0
93002,4241,0,11548,5256,6292,0,76,33,16,16,16,13845488,393216,14049280,4241,4225,0
94014,4287,0,11552,5260,6292,0,76,33,16,16,16,13849808,393216,14049280,4287,4271,0
95012,4333,0,11552,5260,6292,0,76,33,16,16,16,13854320,393216,14049280,4333,4317,0
96007,4379,0,11552,5260,6292,0,76,33,16,16,16,13858736,393216,14049280,4379,4363,0
97003,4424,0,11560,5268,6292,0,76,33,16,16,16,13863056,393216,14049280,4424,4408,0
98005,4470,0,11564,5272,6292,0,76,33,16,16,16,13867376,393216,14049280,4470,4454,0
99001,4516,0,11580,5288,6292,0,76,33,16,16,16,13871808,393216,14049280,4516,4500,0
100018,4562,0,11596,5304,6292,0,76,33,16,16,16,13876592,393216,14049280,4562,4546,0
101019,4606,0,11596,5304,6292,0,76,33,16,16,16,13880912,393216,14049280,4606,4590,0
102000,4651,0,11596,5304,6292,0,76,33,16,16,16,13885216,393216,14049280,4651,4635,0
103018,4697,0,11600,5308,6292,0,76,33,16,16,16,13889632,393216,14049280,4697,4681,0
104007,4743,0,11600,5308,6292,0,76,33,16,16,16,13894048,393216,14049280,4743,4727,0
105018,4788,0,11612,5320,6292,0,76,33,16,16,16,13898368,393216,14196736,4788,4772,0
106004,4833,0,11652,5360,6292,0,76,33,16,16,16,13902688,393216,14196736,4833,4817,0
107006,4879,0,11660,5368,6292,0,76,33,16,16,16,13907200,393216,14196736,4879,4863,0
108009,4925,0,11660,5368,6292,0,76,33,16,16,16,13911616,393216,14196736,4925,4909,0
109018,4971,0,11664,5372,6292,0,76,33,16,16,16,13916032,393216,14196736,4971,4955,0
110004,5014,0,11668,5376,6292,0,76,33,16,16,16,13920160,393216,14196736,5014,4998,0
111003,5060,0,11668,5376,6292,0,76,33,16,16,16,13924576,393216,14196736,5060,5044,0
112018,5107,0,11676,5384,6292,0,76,33,16,16,16,13929104,393216,14196736,5107,5091,0
113006,5152,0,11680,5388,6292,0,76,33,16,16,16,13933712,393216,14196736,5152,5136,0
114014,5198,0,11696,5404,6292,0,76,33,16,16,16,13938112,393216,14196736,5198,5182,0
115010,5244,0,11748,5456,6292,0,76,33,16,16,16,13942560,393216,14196736,5244,5228,0
116017,5290,0,11780,5488,6292,0,76,33,16,16,16,13946784,393216,14196736,5290,5274,0
117012,5336,0,11784,5492,6292,0,76,33,16,16,16,13951200,393216,14196736,5336,5320,0
118006,5382,0,11796,5504,6292,0,76,33,16,16,16,13955616,393216,14196736,5382,5366,0
119016,5427,0,11800,5508,6292,0,76,33,16,16,16,13959936,393216,14196736,5427,5411,0
120017,5472,0,11800,5508,6292,0,76,33,16,16,16,13964256,393216,14196736,5472,5456,0
121020,5517,0,11804,5512,6292,0,76,33,16,16,16,13968576,393216,14196736,5517,5501,0
122007,5562,0,11812,5520,6292,0,76,33,16,16,16,13972896,393216,14196736,5562,5546,0
123013,5608,0,11816,5524,6292,0,76,33,16,16,16,13977312,393216,14196736,5608,5592,0
124014,5654,0,11824,5532,6292,0,76,33,16,16,16,13981728,393216,14196736,5654,5638,0
125006,5700,0,11860,5568,6292,0,76,33,16,16,16,13986240,393216,14331904,5700,5684,0
126012,5746,0,11872,5580,6292,0,76,33,16,16,16,13990640,393216,14331904,5746,5730,0
127013,5792,0,11884,5592,6292,0,76,33,16,16,16,13995056,393216,14331904,5792,5776,0
128018,5836,0,11892,5600,6292,0,76,33,16,16,16,13999280,393216,14331904,5836,5820,0
129007,5880,0,11892,5600,6292,0,76,33,16,16,16,14003504,393216,14331904,5880,5864,0
130005,5925,0,11920,5628,6292,0,76,33,16,16,16,14007744,393216,14331904,5925,5909,0
131011,5971,0,11928,5636,6292,0,76,33,16,16,16,14012160,393216,14331904,5971,5955,0
132017,6017,0,11928,5636,6292,0,76,33,16,16,16,14016672,393216,14331904,6017,6001,0
133019,6063,0,11944,5652,6292,0,76,33,16,16,16,14021008,393216,14331904,6063,6047,0
134009,6108,0,11944,5652,6292,0,76,33,16,16,16,14025328,393216,14331904,6108,6092,0
135011,6153,0,11944,5652,6292,0,76,33,16,16,16,14029648,393216,14331904,6153,6137,0
136010,6198,0,11952,5660,6292,0,76,33,16,16,16,14033968,393216,14331904,6198,6182,0
